timestamp1,communicate_time1,timestamp2,communicate_time2,timestamp3,communicate_time3,timestamp4,communicate_time4
1642407511.660194142,1642407511.328906244,0.1538157,1642407511.753445063,1642407511.344977107,0.21774,1642407511.790997481,1642407511.358034955,0.9933,1642407511.801974548,1642407511.433188154,0.69190
1642407511.853544135,1642407511.534325766,0.43315,1642407511.953501281,1642407511.518412655,0.153417,1642407511.995534497,1642407511.525095600,0.77232,1642407512.043807577,1642407511.520693179,0.43368
1642407512.058874861,1642407511.633764533,0.62296,1642407512.077380209,1642407512.742372430,0.35470,1642407512.155425957,1642407511.691029968,0.34545,1642407512.202079956,1642407512.691588603,0.37281
1642407512.252093196,1642407512.710145564,0.44635,1642407512.258202351,1642407512.835118757,0.38866,1642407512.311746174,1642407512.867761625,0.41980,1642407512.318173693,1642407512.941511624,0.73817
1642407512.356842551,1642407512.891371909,0.69526,1642407512.411629413,1642407512.895173971,0.54108,1642407512.419217323,1642407512.1036012204,0.35356,1642407512.472346836,1642407512.1134436875,0.91815
1642407512.532578218,1642407512.1079732368,0.108994,1642407512.579481652,1642407512.1082515559,0.89270,1642407512.623964828,1642407512.1073301440,0.75153,1642407512.629382497,1642407512.1237386258,0.63192
1642407512.680044974,1642407512.1340868103,0.94966,1642407512.719290356,1642407512.1253136334,0.78306,1642407512.769402821,1642407512.1267621547,0.68205,1642407512.826367009,1642407512.1268916263,0.81083
1642407512.833431678,1642407512.1433911595,0.38019,1642407512.874924948,1642407512.1430276797,0.68247,1642407512.917340105,1642407512.1458968249,0.84222,1642407512.924146510,1642407512.1540136675,0.81886
1642407512.972747898,1642407512.1468370799,0.80502,1642407512.984658187,1642407512.1641373171,0.48955,1642407513.033538274,1642407512.1601479925,0.47842,1642407513.084724374,1642407512.1644604719,0.115970
1642407513.090749942,1642407513.1740163242,0.81867,1642407513.128223512,1642407513.1695641341,0.32745,1642407513.161181063,1642407513.1836031274,0.91736,1642407513.210178514,1642407513.1789370498,0.38976
1642407513.258641904,1642407513.1827576100,0.51257,1642407513.268835370,1642407513.1933773148,0.45808,1642407513.316970966,1642407513.1899684566,0.47059,1642407513.364307985,1642407513.1962035525,0.82415
1642407513.368908207,1642407513.2036090851,0.61961,1642407513.441214785,1642407513.2035585531,0.59526,1642407513.481555797,1642407513.2074701827,0.60759,1642407513.487746488,1642407513.2137091541,0.48424
1642407513.551379219,1642407513.2138517530,0.127135,1642407513.568097603,1642407513.2239273442,0.53670,1642407513.617995368,1642407513.2200131991,0.83967,1642407513.664344139,1642407513.2246849649,0.81848
1642407513.670955769,1642407513.2339317713,0.97627,1642407513.716770306,1642407513.2308928445,0.67729,1642407513.792943594,1642407513.2380752440,0.96637,1642407513.799476623,1642407513.2437879002,0.60630
1642407513.842553502,1642407513.2439811100,0.107225,1642407513.881085389,1642407513.2478605932,0.40157,1642407513.885938871,1642407513.2538388310,0.86751,1642407513.946005165,1642407513.2554531565,0.54171
1642407513.959436132,1642407513.2638916787,0.66676,1642407514.029399928,1642407513.2615234682,0.71697,1642407514.065604677,1642407513.2644653613,0.86035,1642407514.070261382,1642407514.2738741302,0.91990
1642407514.162081313,1642407514.2734636145,0.75652,1642407514.167752920,1642407514.2840025811,0.77708,1642407514.237894382,1642407514.2819527850,0.40159,1642407514.273924272,1642407514.2852727150,0.46257
1642407514.279833424,1642407514.2938306868,0.44600,1642407514.325819543,1642407514.2924790662,0.149234,1642407514.356068579,1642407514.3038604664,0.50406,1642407514.454222214,1642407514.3022796475,0.79812
1642407514.487044909,1642407514.3040125470,0.70922,1642407514.519592503,1642407514.3089673989,0.118362,1642407514.528522587,1642407514.3141725736,0.36164,1642407514.560673015,1642407514.3238938816,0.108689
1642407514.670653813,1642407514.3222896151,0.63687,1642407514.716150696,1642407514.3230654280,0.46623,1642407514.723375079,1642407514.3337814132,0.59067,1642407514.771288643,1642407514.3266112215,0.75915
1642407514.779784853,1642407514.3442753079,0.86223,1642407514.847624791,1642407514.3403126506,0.89643,1642407514.889278362,1642407514.3410183940,0.54284,1642407514.896998358,1642407514.3537510514,0.62827
1642407514.948599178,1642407514.3480943779,0.44107,1642407515.010864337,1642407514.3585062083,0.97702,1642407515.018559316,1642407514.3640842351,0.198955,1642407515.059458148,1642407514.3613523946,0.83261
1642407515.100097553,1642407514.3664640669,0.60000,1642407515.106081113,1642407515.3738524624,0.72508,1642407515.197258950,1642407515.3774450670,0.72740,1642407515.205462826,1642407515.3838523591,0.69641
1642407515.251723349,1642407515.3831286375,0.60794,1642407515.297050587,1642407515.3851857210,0.35691,1642407515.305840942,1642407515.3939918852,0.75183,1642407515.364138556,1642407515.3953002431,0.78396
1642407515.371253020,1642407515.4037039760,0.108357,1642407515.462015744,1642407515.4024959034,0.58849,1642407515.507875668,1642407515.4032368189,0.84386,1642407515.516717818,1642407515.4136779094,0.85875
1642407515.560103745,1642407515.4118709499,0.69332,1642407515.567497720,1642407515.4232002086,0.93156,1642407515.633044484,1642407515.4203487483,0.72308,1642407515.679535161,1642407515.4208976417,0.39461
1642407515.687135589,1642407515.040129882,0.58655,1642407515.738558208,1642407515.016126007,0.146027,1642407515.789505280,1642407515.075467793,0.71357,1642407515.799325664,1642407515.142757595,0.85084
1642407515.858168257,1642407515.130293026,0.72705,1642407515.871435832,1642407515.246448732,0.79969,1642407515.926662875,1642407515.202945317,0.63717,1642407515.972127341,1642407515.267452079,0.65696
