timestamp1,communicate_time1,timestamp2,communicate_time2,timestamp3,communicate_time3,timestamp4,communicate_time4
1642429378.593037118,1642429378.1602832147,0.5614001,1642429378.598757019,1642429378.1605996239,0.91855,1642429378.620338507,1642429378.1630864218,0.211600,1642429378.691623182,1642429378.1702818494,0.196850
1642429378.694733204,1642429378.1705996402,0.163775,1642429378.706588113,1642429378.1717162129,0.52885,1642429378.719635034,1642429378.1730855431,0.252245,1642429378.791610126,1642429378.1802817657,0.87127
1642429378.794743580,1642429378.1806005148,0.216155,1642429378.805992961,1642429378.1817123751,0.139738,1642429378.819654480,1642429378.1830858829,0.225586,1642429378.891605900,1642429378.1902823069,0.140863
1642429378.894746422,1642429378.1906005999,0.197012,1642429378.905935506,1642429378.1917060522,0.139673,1642429378.919668660,1642429378.1930857233,0.220308,1642429378.991621646,1642429378.2002828425,0.140340
1642429378.994757369,1642429378.2006005092,0.224603,1642429379.006007069,1642429379.2017122102,0.136991,1642429379.019657476,1642429379.2030840660,0.220957,1642429379.091618515,1642429379.2102816436,0.139936
1642429379.094744983,1642429379.2106002065,0.195584,1642429379.106069491,1642429379.2117210310,0.191091,1642429379.119659051,1642429379.2130856557,0.312875,1642429379.191549604,1642429379.2202756953,0.141062
1642429379.194749802,1642429379.2206005292,0.218738,1642429379.206012922,1642429379.2217148687,0.140112,1642429379.219592785,1642429379.2230783136,0.227086,1642429379.291960031,1642429379.2302823502,0.140182
1642429379.294771901,1642429379.2306019135,0.195817,1642429379.306129854,1642429379.2317292095,0.140002,1642429379.319663515,1642429379.2330835359,0.272322,1642429379.391602934,1642429379.2402824880,0.140422
1642429379.394750610,1642429379.2406003955,0.221694,1642429379.406206039,1642429379.2417299195,0.137928,1642429379.419652662,1642429379.2430840612,0.223685,1642429379.491689505,1642429379.2502824868,0.140403
1642429379.494800833,1642429379.2506003026,0.195104,1642429379.506141130,1642429379.2517297570,0.140092,1642429379.519629974,1642429379.2530840643,0.296930,1642429379.591602742,1642429379.2602825729,0.141910
1642429379.594786611,1642429379.2606063652,0.226087,1642429379.606107939,1642429379.2617244857,0.141734,1642429379.619634027,1642429379.2630843128,0.277682,1642429379.691509480,1642429379.2702820247,0.142564
1642429379.694674883,1642429379.2705998525,0.198181,1642429379.706437782,1642429379.2717580945,0.140949,1642429379.719550401,1642429379.2730842791,0.222818,1642429379.791515727,1642429379.2802821744,0.139767
1642429379.794687106,1642429379.2805999943,0.226909,1642429379.805990011,1642429379.2817162772,0.136785,1642429379.819608536,1642429379.2830815097,0.225738,1642429379.891578145,1642429379.2902816370,0.140642
1642429379.894663732,1642429379.2905946892,0.194421,1642429379.905966563,1642429379.2917080023,0.139697,1642429379.919619100,1642429379.2930838004,0.268851,1642429379.991563005,1642429379.3002822865,0.140901
1642429379.994613736,1642429379.3005911651,0.223185,1642429380.004344286,1642429380.3016610014,0.141081,1642429380.017407755,1642429380.3029534296,0.215962,1642429380.091573968,1642429380.3102821190,0.139877
1642429380.094639774,1642429380.3105909262,0.196235,1642429380.106103941,1642429380.3117225553,0.139929,1642429380.119510275,1642429380.3130777015,0.228144,1642429380.191563798,1642429380.3202814176,0.184665
1642429380.194672341,1642429380.3205947627,0.223643,1642429380.205916323,1642429380.3217101316,0.138594,1642429380.219596205,1642429380.3230839196,0.224380,1642429380.291568254,1642429380.3302817246,0.140353
1642429380.294621764,1642429380.3305966053,0.194685,1642429380.306005191,1642429380.3317230808,0.140432,1642429380.319299442,1642429380.3330587419,0.227102,1642429380.391563827,1642429380.3402815288,0.140599
1642429380.394854987,1642429380.3406080972,0.222698,1642429380.405881277,1642429380.3417106168,0.140905,1642429380.419564611,1642429380.3430839500,0.221922,1642429380.491563425,1642429380.3502821262,0.140434
1642429380.494827964,1642429380.3506101425,0.158821,1642429380.505979633,1642429380.3517205125,0.153471,1642429380.519571431,1642429380.3530841477,0.179280,1642429380.591552597,1642429380.3602815948,0.150924
1642429380.594743795,1642429380.3606013616,0.177674,1642429380.606014652,1642429380.3617235185,0.143919,1642429380.619567791,1642429380.3630832285,0.173831,1642429380.691565608,1642429380.3702821578,0.166129
1642429380.694802960,1642429380.3706078615,0.195417,1642429380.706062778,1642429380.3717254638,0.140668,1642429380.719863469,1642429380.3731134982,0.174202,1642429380.791522551,1642429380.3802812055,0.142901
1642429380.794631469,1642429380.3805979287,0.177382,1642429380.806059594,1642429380.3817256669,0.141697,1642429380.819571932,1642429380.3830856211,0.226462,1642429380.891517931,1642429380.3902805671,0.141304
1642429380.894596445,1642429380.3905951087,0.190077,1642429380.906139876,1642429380.3917257798,0.141158,1642429380.919537267,1642429380.3930820839,0.193946,1642429380.991440956,1642429380.4002729333,0.141045
1642429380.994630222,1642429380.4005971588,0.222961,1642429381.006045404,1642429381.4017230869,0.139364,1642429381.019513002,1642429381.4030796436,0.221453,1642429381.091415915,1642429381.4102691594,0.141377
1642429381.094631545,1642429381.4105964784,0.187150,1642429381.106001696,1642429381.4117184641,0.142403,1642429381.119286695,1642429381.4130580643,0.186878,1642429381.191519567,1642429381.4202817974,0.141599
1642429381.194628544,1642429381.4205968936,0.197887,1642429381.205985352,1642429381.4217181014,0.188405,1642429381.219497227,1642429381.4230795105,0.181474,1642429381.291542809,1642429381.007850345,0.152720
1642429381.294689240,1642429381.011025323,0.151302,1642429381.306071540,1642429381.022288220,0.139289,1642429381.319597478,1642429381.035924967,0.234867,1642429381.391536903,1642429381.107852251,0.139642
